normal_form,type,variants_in_text,count
сэммиум,PER,"сэммиуму, сэммиум, сэммиума",20
хоббитанию,PER,хоббитанию,20
ортханк,PER,"ортханк, ортханком, ортханке, ортханка",20
мустангрим,PER,"мустангрима, мустангрим, мустангриме",20
ноб,PER,"ноба, нобом, ноб",20
мериадок,PER,"мериадока, мериадок, мериадоку",20
смеагорел,PER,"смеагорлом, смеагорлу, смеагорла",19
хоббитания,PER,хоббитания,19
генералиссимус,PER,"генералиссимуса, генералиссимусом, генералиссимусу, генералиссимус",19
фарамира,PER,фарамира,19
лес,PER,"лесе, лес",18
глоин,PER,глоин,18
горнбург,LOC,"горнбурге, горнбурга, горнбург",18
морий,LOC,мории,18
араторн,PER,араторна,18
арвен,PER,арвен,17
андуина,LOC,андуина,17
ворот,LOC,ворот,17
жезл,PER,"жезла, жезлом, жезл",17
балин,PER,"балин, балине, балину, балина",17
лихолесья,LOC,лихолесья,17
гондора,LOC,гондора,16
хранителям,PER,хранителям,16
изгарные горы,LOC,"изгарным горам, изгарные горы, изгарных горах, изгарных гор",16
итилии,LOC,итилии,16
лотто,PER,лотто,16
барад-дура,LOC,барад-дура,16
хоббиты,PER,хоббиты,16
черный властелин,LOC,"черный властелин, черного властелина, черным властелином",16
ворота,PER,ворота,15
осгилиат,LOC,"осгилиат, осгилиату, осгилиата",15
черный властелин,PER,"черного властелина, черному властелину",15
прелесть,PER,"прелесть, прелести, прелестью",15
дарина,PER,дарина,15
эарнур,PER,"эарнур, эарнура",15
мории,PER,мории,15
том бомбадил,PER,"том бомбадил, тома бомбадила",14
минас-моргул,LOC,"минас-моргулом, минас-моргул, минас-моргула, минас-моргуле",14
конунг,PER,конунг,14
белые горы,LOC,"белые горы, белых гор, белых горах",14
накручинс,PER,"накручинса, накручинс",14
эарендил,PER,"эарендила, эарендил, эарендилу",14
денэтора,PER,денэтора,14
властелин,PER,"властелину, властелином, властелин, властелина",14
радагаст,PER,"радагастом, радагаст",14
гэндальфу,PER,гэндальфу,14
гора,LOC,"горы, гора, горе, гору",13
древня,PER,древня,13
сарумана,PER,сарумана,13
берен,PER,"берен, берена, береном, берене, берену",13
дрого,PER,дрого,13
бомбадил,PER,"бомбадил, бомбадила, бомбадилом",13
нуменор,LOC,"нуменор, нуменора, нуменоре",13
фангорн,LOC,"фангорн, фангорна",13
шаркич,PER,"шаркича, шаркичем, шаркич",13
всадники,PER,всадники,13
владыка,PER,"владыка, владыки, владыкою, владыке",12
торин,PER,"торин, торина, торину",12
тракт,PER,"тракт, тракта",12
дунадан,PER,"дунаданом, дунадана, дунадан",12
гайма,PER,гайма,12
хранитель,PER,"хранителя, хранителем, хранитель, хранителю",12
торбе,LOC,торбе,12
тенгел,PER,"тенгел, тенгела",12
бергил,PER,"бергил, бергила",12
белая башня,LOC,"белой башней, белой башни, белой башне, белую башню",12
эорел,PER,эорла,11
воротам,PER,воротам,11
горнбург,PER,"горнбурга, горнбург",11
анборн,PER,"анборн, анборна",11
ристанию,LOC,ристанию,11
пину,PER,пину,11
смотритель,PER,"смотрителя, смотрителю, смотритель",11
скоростень,PER,"скоростеня, скоростень",11
барлог,PER,"барлогом, барлога, барлог",11
враг,LOC,"врагу, врага",11
арведуи,PER,арведуи,11
моргульская долина,LOC,"моргульской долины, моргульской долине, моргульская долина, моргульскую долину",11
мустангрима,PER,мустангрима,11
лугбурза,LOC,"лугбурзе, лугбурза",11
осинник,PER,"осиннику, осинника, осинник",11
эарнил,PER,"эарнилу, эарнил, эарнила",11
дунхерг,LOC,"дунхерге, дунхерга, дунхерг",11
мглистый хребет,LOC,"мглистому хребту, мглистого хребта, мглистый хребет, мглистым хребтом",11
маблунг,PER,маблунг,11
север,LOC,"севера, севере, север",11
перегрин крол,PER,перегрин крол,10
элладан,PER,элладан,10
саурон,LOC,саурона,10
лавр наркисс,PER,"лавром наркиссом, лавр наркисс",10
толстик,PER,"толстиком, толстик, толстика, толстику",10
эркенбранд,PER,"эркенбранду, эркенбрандом, эркенбранд, эркенбранда",10
элессар,PER,"элессар, элессаром, элессаре",10
гэндальф серый,PER,гэндальф серый,10
брендизайк,PER,брендизайк,10
гил-гэлад,PER,"гил-гэлада, гил-гэлад",10
боромира,PER,боромира,10
пригорья,LOC,пригорья,10
вековечный лес,LOC,"вековечного леса, вековечным лесом, вековечном лесу, вековечному лесу, вековечный лес",10
гальбарад,PER,"гальбарад, гальбараду",10
дернхельм,PER,"дернхельмом, дернхельм",10
огненная гора,LOC,"огненную гору, огненной горы, огненной горе",10
торбы,LOC,торбы,10
мораннон,PER,"мораннон, мораннону, мораннона",10
заверти,LOC,заверти,10
теодена,PER,теодена,10
эфель-дуат,LOC,"эфель-дуата, эфель-дуатом",9
скромби,PER,скромби,9
бродяжником,PER,бродяжником,9
развилок,LOC,"развилка, развилок",9
отряд,PER,"отрядом, отряду, отряд, отряда",9
андрил,PER,"андрила, андрил",9
следопыты,PER,следопыты,9
кролы,PER,кролы,9
саурона,PER,саурона,9
гнилоуста,PER,гнилоуста,9
элроир,PER,"элроиром, элроир",9
кроличья балка,LOC,"кроличьей балке, кроличью балку, кроличьей балки",9
дамрод,PER,дамрод,9
приречье,LOC,приречье,9
переправа,LOC,"переправы, переправе",9
эдорас,PER,"эдорас, эдораса",9
брегалад,PER,"брегалад, брегалада",9
торбу,PER,торбу,9
лесной угол,LOC,"лесным углом, лесном углу, лесной угол, лесному углу",9
кветлориэн,LOC,"кветлориэна, кветлориэн",9
хельмовой крепи,PER,хельмовой крепи,9
камень,LOC,"камень, камню",9
камень,PER,"камень, камня, камнем",9
лихолесье,LOC,лихолесье,9
кветлориэн,PER,"кветлориэна, кветлориэн, кветлориэном, кветлориэне",9
митрандира,PER,митрандира,9
кольцо всевластья,PER,кольцо всевластья,9
арагорну,PER,арагорну,9
хранителей,PER,хранителей,9
заверти,PER,заверти,9
мория,PER,"мория, морию",9
онтава,LOC,"онтаве, онтаву, онтавы",9
царь-ведьмак,PER,царь-ведьмак,9
вождь,PER,"вождя, вождем, вождь",8
эомунд,PER,"эомундом, эомунда",8
глухоманья,LOC,глухоманья,8
эльфхельм,PER,"эльфхельмом, эльфхельм",8
южный удел,LOC,"южного удела, южном уделе",8
градоправитель,PER,"градоправителя, градоправитель, градоправителем, градоправителю",8
хиргон,PER,хиргон,8
нуменор,PER,"нуменора, нуменору, нуменоре, нуменор, нуменором",8
владычицы,PER,владычицы,8
трор,PER,"трору, трора, трор",8
каир-андрос,LOC,"каир-андроса, каир-андросе, каир-андрос",8
гамлинг,PER,гамлинг,8
вражье кольцо,PER,вражье кольцо,8
торбу,LOC,торбу,8
медусельд,LOC,"медусельде, медусельд",8
торбы,PER,торбы,8
стена,LOC,"стены, стену",8
деагорл,PER,деагорл,8
пином,PER,пином,8
бильбо торбинс,PER,"бильбо торбинса, бильбо торбинс",8
остранн,LOC,остранне,8
дул-гулдур,LOC,"дул-гулдуром, дул-гулдуре, дул-гулдуру, дул-гулдура, дул-гулдур",8
арнор,LOC,"арноре, арнор",8
черноречье,LOC,черноречье,8
дол-амрота,PER,дол-амрота,8
боб,PER,"боба, боб, бобом",8
брендизайки,PER,брендизайки,8
брендидуимский мост,LOC,"брендидуимском мосту, брендидуимского моста, брендидуимскому мосту",8
следопыт,PER,"следопыт, следопыту, следопыта",8
элберет,PER,элберет,8
гэндальфом,PER,гэндальфом,8
розочка,PER,"розочки, розочка",8
эльфийский берилл,PER,"эльфийский берилл, эльфийским бериллом",7
рат-динен,LOC,"рат-динен, рат-динена",7
сильмарилл,PER,"сильмарилл, сильмариллом",7
брендидуим,PER,"брендидуим, брендидуима, брендидуиме",7
лоссарнах,LOC,"лоссарнах, лоссарнаха",7
лучиэнь,PER,"лучиэни, лучиэнь",7
крол,PER,"крол, крола",7
леголаса,PER,леголаса,7
имладрис,LOC,"имладрис, имладрисе, имладриса",7
исправноры,LOC,исправноры,7
вековечный лес,PER,вековечный лес,7
бит осинник,PER,"бита осинника, бит осинник",7
белогрив,PER,"белогриве, белогрив, белогриву",7
золотой лес,LOC,"золотом лесу, золотой лес, золотого леса",7
исилдура,PER,исилдура,7
онтава,PER,"онтаве, онтаву, онтава, онтавы",7
хельм,PER,хельм,7
норгорд,PER,"норгордом, норгорду, норгорда, норгорд",7
эфель-дуата,LOC,эфель-дуата,7
саруман,LOC,"саруман, саруманом, сарумана",7
гэлдор,PER,"гэлдора, гэлдор",7
минас-итил,LOC,"минас-итила, минас-итил, минас-итиле",7
анориэн,LOC,"анориэна, анориэн, анориэне",7
тод,PER,тод,7
кирит-унгол,PER,"кирит-унголу, кирит-унгол",7
переправа,PER,"переправа, переправы, переправе",7
пескунс,PER,"пескунс, пескунса",7
черные всадники,PER,черные всадники,7
хазуфел,PER,"хазуфела, хазуфел",7
трандуил,PER,"трандуил, трандуила",7
фродо торбинс,PER,"фродо торбинса, фродо торбинс",7
мерри брендизайк,PER,"мерри брендизайк, мерри брендизайком",7
галадхэн,LOC,"галадхэна, галадхэне, галадхэн",7
кольцом,LOC,кольцом,7
миндоллуин,LOC,"миндоллуина, миндоллуином, миндоллуин",7
могильники,LOC,"могильники, могильников",7
конунг теоден,PER,конунг теоден,7
смеагорлу,PER,смеагорлу,7
кольце,PER,кольце,7
черная башня,LOC,"черной башне, черной башни",7
арагорн,LOC,"арагорн, арагорна, арагорном",7
иорета,PER,иорета,7
глухоманье,LOC,глухоманье,6
изен,LOC,"изена, изен",6
изенгарда,LOC,изенгарда,6
оддо,PER,оддо,6
эомеру,PER,эомеру,6
бальдор,PER,"бальдор, бальдором, бальдора",6
эомера,PER,эомера,6
тол-брандир,LOC,"тол-брандир, тол-брандира",6
лебеннин,LOC,"лебеннин, лебеннина",6
яррист,PER,"ярриста, яррист",6
лихолесье,PER,лихолесье,6
саруман белый,PER,"саруманом белым, сарумана белого, саруман белый",6
горлуму,PER,горлуму,6
н-да,PER,н-да,6
ингольд,PER,ингольд,6
ортханка,PER,ортханка,6
западный край,LOC,"западном крае, западный край, западного края",6
заверть,LOC,заверть,6
тому,PER,тому,6
рэрос,PER,"рэроса, рэрос",6
роковая гора,LOC,"роковой горы, роковой горе",6
анарион,PER,"анарионом, анариона",6
ворот,PER,"ворота, ворот",6
роза,PER,"роза, розой, розы",6
эомер,LOC,"эомера, эомером, эомер",6
элронда,LOC,элронда,6
элендила,PER,элендила,6
бранд,PER,"бранда, бранду, бранд",6
рэрос,LOC,"рэроса, рэрос",6
светозара,PER,светозара,6
леголасу,PER,леголасу,6
гора,PER,"гора, гору",6
мустангрим,LOC,"мустангрима, мустангримом, мустангрим, мустангриме",6
форлонг,PER,"форлонг, форлонга",6
моргот,PER,"морготом, моргот, моргота",6
тол-брандир,PER,"тол-брандир, тол-брандира",6
хранитель кольца,PER,"хранитель кольца, хранителем кольца",6
черные ворот,LOC,черных ворот,6
привражья,LOC,привражья,6
минас-тирита,PER,минас-тирита,6
снага,PER,"снага, снагой",6
кирит-унгол,LOC,"кирит-унгола, кирит-унголе, кирит-унгол, кирит-унголом",6
торбинсы,PER,торбинсы,6
лучиэни,PER,лучиэни,6
владычица лориэна,PER,владычица лориэна,6
чирей,PER,"чирей, чирея",6
лугбурз,LOC,лугбурз,6
ворота,LOC,ворота,6
черный замок,LOC,"черный замок, черного замка",6
арод,PER,арод,6
могильник,LOC,"могильника, могильник, могильнике",6
горгорота,LOC,горгорота,5
эльдаров,PER,эльдаров,5
владык,PER,владык,5
ангмар,PER,"ангмар, ангмара",5
тьма,LOC,"тьма, тьме, тьму",5
тракта,LOC,тракта,5
гэндальфа,PER,гэндальфа,5
глашатай,PER,"глашатай, глашатая",5
дайн,PER,дайн,5
фангорна,LOC,фангорна,5
смеагорла,PER,смеагорла,5
баразинбар,PER,"баразинбара, баразинбар",5
кольцо всевластья,LOC,"кольцом всевластья, кольцо всевластья",5
усыпален,LOC,усыпальне,5
гваигир ветробой,PER,гваигир ветробой,5
брендидуим,LOC,"брендидуим, брендидуима",5
благословенного край,PER,благословенного края,5
брего,PER,брего,5
укрывище,LOC,укрывище,5
река,PER,"реку, река",5
форност,LOC,"форност, форносту, форносте",5
башня,LOC,"башни, башню",5
пеленнорская равнина,LOC,"пеленнорской равнины, пеленнорской равнине",5
толстик боббер,PER,толстик боббер,5
паладин,PER,паладина,5
парт-гален,LOC,"парт-галена, парт-гален, парт-галене",5
ган,PER,ган,5
забрендию,LOC,забрендию,5
любелия,PER,любелия,5
траин,PER,"траину, траина",5
тот,PER,тот,5
черные всадниками,PER,черными всадниками,5
средиземья,PER,средиземья,5
кольцом,PER,кольцом,5
черные воротам,LOC,черным воротам,5
владыка раздола,PER,"владыка раздола, владыке раздола, владыки раздола",5
артедаин,LOC,"артедаин, артедаине",5
минас-тирита,LOC,минас-тирита,5
привражья,PER,привражья,5
черноречья,LOC,черноречья,5
минас-итил,PER,"минас-итил, минас-итиле",5
пригорье,PER,пригорье,5
приречье,PER,приречье,5
стезей мертвецов,PER,стезей мертвецов,5
изенгарда,PER,изенгарда,5
мундбург,PER,"мундбург, мундбурга",5
мудрых,PER,мудрых,5
мудрый,PER,"мудрого, мудрый, мудрым",5
ондогер,PER,"ондогера, ондогер",5
арнора,PER,арнора,5
западный тракт,LOC,"западном тракте, западного тракта, западному тракту, западный тракт",5
морию,PER,морию,5
онтавы,LOC,онтавы,5
орки,PER,орки,5
зеркальный,LOC,зеркального,5
западные ворота,LOC,западные ворота,5
морем,LOC,морем,5
ородруина,LOC,ородруина,5
овид,LOC,"овида, овид, овидом",5
одинокая гора,LOC,"одинокой горы, одинокой горе",5
мордором,LOC,мордором,5
вестфольд,LOC,"вестфольде, вестфольда",5
нимродэль,PER,нимродэль,5
эомер ристанийский,PER,"эомером ристанийским, эомер ристанийский, эомера ристанийского",5
хеннет-аннун,LOC,"хеннет-аннуна, хеннет-аннуне, хеннет-аннун",5
наркисса,PER,наркисса,5
хоббит,PER,хоббит,5
нан-курунир,LOC,"нан-курунира, нан-куруниром, нан-курунир",5
гэндальф серого,PER,гэндальфа серого,5
барад-дура,PER,барад-дура,5
государь элессар,PER,"государе элессаре, государь элессар, государя элессара",5
боромир,LOC,"боромиром, боромиру, боромир, боромира",5
барад-дур,PER,барад-дур,5
логова,LOC,логова,5
лихолесья,PER,лихолесья,5
эрестор,PER,эрестор,5
эфель-дуат,PER,"эфель-дуата, эфель-дуат",4
южный,LOC,"южном, южный",4
барад-дур,LOC,"барад-дур, барад-дуром",4
фангорна,PER,фангорна,4
фарамир,LOC,"фарамир, фарамиром, фарамира",4
горислава,PER,горислава,4
горлум,LOC,"горлумом, горлум",4
саруману,PER,саруману,4
боромира,LOC,боромира,4
громадины,PER,громадины,4
гримблад,PER,"гримблад, гримбладом",4
нарсил,PER,"нарсил, нарсилу",4
хоб,PER,хоб,4
ветлянки,LOC,ветлянки,4
тингол,PER,"тинголу, тингола",4
сэрдан,PER,"сэрдан, сэрданом",4
врата,PER,врата,4
итилию,LOC,итилию,4
вратам,PER,вратам,4
вражье,PER,вражье,4
итилия,LOC,"итилия, итилии",4
йарвен,PER,йарвен,4
мудрые,PER,мудрые,4
замок,LOC,"замка, замок, замке",4
изен,PER,"изен, изеном",4
золотинки,PER,золотинки,4
гавань,LOC,"гавань, гавани",4
и,PER,и,4
ородруин,PER,"ородруин, ородруином",4
привражье,PER,привражье,4
ступай,PER,ступай,4
бесноватой,LOC,бесноватой,4
онтомолвище,PER,онтомолвище,4
зеленые холмы,LOC,"зеленых холмах, зеленых холмов, зеленые холмы",4
зеркале,LOC,зеркале,4
заячьи холмы,LOC,"заячьи холмы, заячьих холмах, заячьих холмов",4
врат,LOC,врат,4
моргвея,PER,моргвея,4
моргул,PER,"моргула, моргул",4
белая длань,PER,белой дланью,4
барсуксы,LOC,барсуксы,4
жихаря,PER,жихаря,4
арагорна,LOC,арагорна,4
хранителя кольца,LOC,хранителя кольца,4
пеленнора,LOC,пеленнора,4
отрок эорл,PER,отрок эорл,4
вековечного лес,PER,вековечного леса,4
остранны,LOC,остранны,4
остранны,PER,остранны,4
осгилиате,LOC,осгилиате,4
каменоломная долина,LOC,"каменоломную долину, каменоломной долины, каменоломной долине",4
миндоллуин,PER,"миндоллуина, миндоллуином, миндоллуин",4
минас-моргул,PER,"минас-моргул, минас-моргула",4
владыка лориэна,PER,"владыке лориэна, владыка лориэна",4
хельмов ущелье,LOC,хельмову ущелью,4
черные всадники,LOC,"черных всадников, черные всадники",4
погоди-ка,PER,погоди-ка,4
пин,LOC,"пин, пином",4
валары,PER,валары,4
хэлдара,PER,хэлдара,4
вскорень,PER,вскорень,4
забрендий,LOC,забрендии,4
фредегар боббер,PER,"фредегар боббер, фредегара боббера",4
фонтанный двор,LOC,"фонтанный двор, фонтанном дворе, фонтанного двора",4
кольца всевластья,PER,кольца всевластья,4
кирит-горгор,LOC,"кирит-горгор, кирит-горгору",4
мглистого,LOC,мглистого,4
владычице,PER,владычице,4
торбы-на-круче,LOC,торбы-на-круче,4
торин дубощит,PER,"торин дубощит, торина дубощита",4
бруинен,LOC,"бруинена, бруинен",4
проклятие исилдур,PER,проклятие исилдура,4
дол-амрот,LOC,дол-амрота,4
ануминас,LOC,"ануминаса, ануминасе, ануминас",4
черный всадник,PER,"черного всадника, черный всадник, черному всаднику",4
стародуб,PER,стародуб,4
старый вяз,LOC,"старого вяза, старый вяз",4
средиземьем,PER,средиземьем,4
снеговая,LOC,снеговой,4
соглядатаев,PER,соглядатаев,4
мораннон,LOC,мораннона,4
мглистых горы,LOC,мглистых гор,4
лякошель-торбинсы,PER,лякошель-торбинсы,4
магические кольца,PER,магические кольца,4
магическим жезл,PER,магическим жезлом,4
смеагорлом,PER,смеагорлом,4
двиморберг,LOC,"двиморбергу, двиморберг, двиморбергом, двиморберга",4
дагорлада,LOC,дагорлада,4
дунгир,PER,дунгир,4
ар-фаразон,PER,"ар-фаразон, ар-фаразона, ар-фаразоном",4
бильбо-то,PER,бильбо-то,4
боромиру,PER,боромиру,4
пукколы,PER,пукколы,4
путники,PER,путники,4
приречья,PER,приречья,4
кольценосцев,PER,кольценосцев,4
колец,PER,колец,4
курган,LOC,"кургана, курган",4
восток,LOC,"восток, востока",4
крепость восходящая луна,LOC,"крепость восходящей луны, крепостью восходящей луны",4
лориэна,PER,лориэна,4
балина,PER,балина,4
урукхай,PER,урукхай,4
следопыт,LOC,"следопыт, следопыта",4
серебрянки,LOC,серебрянки,4
дол-амрот,PER,"дол-амрот, дол-амрота",4
гваигир,PER,гваигир,4
рамил,PER,рамил,4
раммас-экор,LOC,"раммас-экор, раммас-экора",4
фарамиру,PER,фарамиру,4
леголас,LOC,"леголас, леголасом",4
андуин великий,LOC,"андуина великого, андуин великий, андуину великому",4
эланор,PER,эланор,4
гэндальф,LOC,"гэндальф, гэндальфом",4
горгорот,PER,"горгоротом, горгорот",4
гондором,PER,гондором,4
гондору,PER,гондору,4
благословенный край,LOC,благословенный край,4
саурону,PER,саурону,4
глаз,PER,"глаз, глаза",4
громадин,PER,громадин,4
государь арагорн,PER,"государем арагорном, государя арагорна, государь арагорн",4
эрек,LOC,"эрека, эрек",4
эльдары,PER,эльдары,4
юг,LOC,"юга, юге",4
эорла,PER,эорла,4
эребор,PER,"эребора, эребору",3
эред-литуя,LOC,эред-литуи,3
эмин-арнен,LOC,"эмин-арнен, эмин-арнене",3
горгорот,LOC,"горгорот, горгорота",3
гниль,PER,гниль,3
гора призраки,LOC,"горы призраков, гора призраков",3
северный лихолесья,LOC,северного лихолесья,3
элронду,PER,элронду,3
элрос,PER,элрос,3
градоправителя,PER,градоправителя,3
городьба,PER,городьба,3
горри,PER,горри,3
южная башня,LOC,"южной башни, южной башне",3
эомунда,PER,эомунда,3
владычицы лориэн,PER,владычицы лориэна,3
логово,LOC,логово,3
летописный,PER,летописный,3
лесная крепость,LOC,"лесную крепость, лесная крепость, лесной крепости",3
лесной чертог,LOC,"лесному чертогу, лесного чертога, лесным чертогом",3
лаурелиндоренан,PER,"лаурелиндоренана, лаурелиндоренан",3
ворожеи,PER,ворожеи,3
ущельный,LOC,"ущельный, ущельного",3
лаврик,PER,лаврик,3
кролов,LOC,кролов,3
кроттонов,PER,кроттонов,3
вонючка,PER,вонючка,3
края бессмертия,LOC,"краев бессмертия, края бессмертия",3
лучиэнь тинувиэль,PER,лучиэнь тинувиэль,3
углука,PER,углука,3
удун,LOC,"удуна, удуне, удун",3
троллистое плато,LOC,"троллистом плато, троллистое плато",3
туор,PER,"туором, туор",3
тракте,LOC,тракте,3
мглистый,LOC,мглистый,3
лякошель-торбинсы,LOC,лякошель-торбинсы,3
мардил,PER,"мардил, мардила",3
любелию,PER,любелию,3
люн,LOC,люн,3
лякошели,PER,лякошели,3
лякошель-торбинсам,PER,лякошель-торбинсам,3
кольцо нэнья,PER,кольцо нэнья,3
конники ристании,PER,конники ристании,3
восточный удел,LOC,"восточном уделе, восточного удела",3
ворот мордор,LOC,ворот мордора,3
мин-риммон,LOC,"мин-риммон, мин-риммона, мин-риммону",3
минас-анор,LOC,"минас-аноре, минас-анор",3
минас-анор,PER,минас-анор,3
третий сенешаль мустангрима,PER,третий сенешаль мустангрима,3
торбе,PER,торбе,3
толстобрюхлы,LOC,толстобрюхлы,3
владычицу галадриэль,PER,владычицу галадриэль,3
мозгляк,PER,"мозгляк, мозгляком",3
миндоллуина,LOC,миндоллуина,3
минас-итила,LOC,минас-итила,3
владыкам,PER,владыкам,3
видфара,PER,видфара,3
вражьих,PER,вражьих,3
багровым воротам,LOC,багровым воротам,3
хельмова ущелье,LOC,хельмова ущелья,3
хельмовое ущелье,LOC,хельмовом ущелье,3
фредегар,PER,фредегар,3
моргул,LOC,"моргула, моргул",3
тому бомбадил,PER,тому бомбадилу,3
торба,LOC,"торбы, торбе, торба",3
теодред,PER,"теодред, теодреда",3
восточный тракт,LOC,"восточный тракт, восточному тракту",3
келед-зарам,LOC,келед-зарам,3
кардолан,LOC,"кардолана, кардолане, кардолан",3
карадрас,LOC,"карадраса, карадрас",3
казад-думе,LOC,казад-думе,3
каменные гиганты,LOC,"каменных гигантов, каменные гиганты",3
итилии,PER,итилии,3
вратами,LOC,вратами,3
вражий,PER,вражьего,3
морийское царство,LOC,"морийское царство, морийского царства",3
морийская стена,LOC,морийской стены,3
морийские пещеры,LOC,морийских пещерах,3
мордора,LOC,мордора,3
мордора,PER,мордора,3
моргвей,PER,"моргвея, моргвей",3
моргвея,LOC,моргвея,3
исторбинке,LOC,исторбинке,3
исторбинки,PER,исторбинки,3
имлад-моргул,LOC,"имлад-моргул, имлад-моргула",3
всевластья,PER,всевластья,3
арчет,PER,"арчет, арчета",3
хопкин-бобкин,PER,хопкин-бобкин,3
